id,audio,n_frames,audio_sound,spoken_text,prompt,with_speech,audio_only_target,speech_only_target,target_keywords,tgt_text,allm_output
1,{data_folder}/dataset/v0/1.wav,150010,"Waves crashing,seagulls",Let’s build a castle over there.,"Based on both the audio sound and the spoken text, infer what the speakers are doing specifically?",True,They are at the beach enjoying the ocean.,They a planning to build a castle in a specific location.,sandcastle,They are planning to build a sandcastle.,output_1
1,{data_folder}/dataset/v0/1.wav,150010,"Waves crashing,seagulls",Let’s build a castle over there.,"Based on both the spoken text and the audio sound, infer what the speakers are doing specifically?",True,They are at the beach enjoying the ocean.,They a planning to build a castle in a specific location.,sandcastle,They are planning to build a sandcastle.,output_2
1,{data_folder}/dataset/v0/1.wav,150010,"Waves crashing,seagulls",Let’s build a castle over there.,"What is the spoken text? What is the audio sound? Based on both the spoken text and the audio sound, infer what the speakers are doing specifically?",True,They are at the beach enjoying the ocean.,They a planning to build a castle in a specific location.,sandcastle,They are planning to build a sandcastle.,output_3
1,{data_folder}/dataset/v0/1.wav,150010,"Waves crashing,seagulls",Let’s build a castle over there.,"What is the audio sound? What is the spoken text? Based on both the audio sound and the spoken text, infer what the speakers are doing specifically?",True,They are at the beach enjoying the ocean.,They a planning to build a castle in a specific location.,sandcastle,They are planning to build a sandcastle.,output_4
1,{data_folder}/dataset/v0/1.wav,150010,"Waves crashing,seagulls",Let’s build a castle over there.,"What is the spoken text? What is the audio sound? Based on both the spoken text and the audio sound, infer what specific scenario are the speakers in?",True,They are at the beach enjoying the ocean.,They a planning to build a castle in a specific location.,sandcastle,They are planning to build a sandcastle.,output_5
1,{data_folder}/dataset/v0/1.wav,150010,"Waves crashing,seagulls",Let’s build a castle over there.,"What is the audio sound? What is the spoken text? Based on both the audio sound and the spoken text, infer what specific scenario are the speakers in?",True,They are at the beach enjoying the ocean.,They a planning to build a castle in a specific location.,sandcastle,They are planning to build a sandcastle.,output_6
1,{data_folder}/dataset/v0/1.wav,150010,"Waves crashing,seagulls",Let’s build a castle over there.,What sound can you hear? What does the speaker say? Guess what activity the speakers are engaged in using both the audio sound and the spoken text.,True,They are at the beach enjoying the ocean.,They a planning to build a castle in a specific location.,sandcastle,They are planning to build a sandcastle.,output_7
1,{data_folder}/dataset/v0/1.wav,150010,"Waves crashing,seagulls",Let’s build a castle over there.,What does the speaker say? What sound can you hear? Guess what activity the speakers are engaged in using both the spoken text and the audio sound.,True,They are at the beach enjoying the ocean.,They a planning to build a castle in a specific location.,sandcastle,They are planning to build a sandcastle.,output_8
2,{data_folder}/dataset/v0/2.wav,146498,"Seagulls,water lapping against a boat",Yeah! This one is much bigger!,"Based on both the audio sound and the spoken text, infer what the speakers are doing specifically?",True,They are likely enjoying a day at the beach or sailing on a boat.,They are likely comparing the size of objects.,fishing,They are likely fishing.,output_1
2,{data_folder}/dataset/v0/2.wav,146498,"Seagulls,water lapping against a boat",Yeah! This one is much bigger!,"Based on both the spoken text and the audio sound, infer what the speakers are doing specifically?",True,They are likely enjoying a day at the beach or sailing on a boat.,They are likely comparing the size of objects.,fishing,They are likely fishing.,output_2
